,id,comment_text,toxic,severe_toxic,obscene,threat,insult,identity_hate
116043,6c7c290876c66572,My page should be protected first so that worthless scum like you can't keep vandalizing it.,1,0,0,0,1,0
143704,015b3d713ac21e5d,"Oh so it's you who wants the considerable amount of harm then is it? 

You fucking cretin. You seriously think I'm going to stop vandalising just because you block me? I have a MASSIVE range of IPs and you will never block them all. I am never going to stop either. Hahaha 94.2.133.200",1,0,1,0,1,0
133763,cb953131915ba38c,"I'll leave you alone when you levae me and my talk page alone, you white fuck.",1,0,1,0,0,0
118814,7af7131ffb43e2d3,"It's you who is doing original research by sucking dick of allmovie and not giving sources to why IB is an adventure film, Schindler's List was a man on a mission to save the jaws, is it an adventure film cocksucker? 201.68.139.99",1,0,1,0,1,0
147953,445268c1b685da2a,"other people's
Gosh you can't even speak English which you claim to be your mother tongue. Puh-lease.",1,0,0,0,0,0
156998,d6dd4c6aab5e4f72,"Wow... 

Your just a fucking retard. Some of my edits are actually good source, however, you NYCS user fools want it your way.",1,0,1,0,1,0
91219,f3fcd446a7a085b2,"No, Assfuckers (has a nice ring to it D) use it as a pejorative term. It offends Macedonians because most of them aren't from Skopje. And even if they are that is not their national identity. Americans don't call Georgians Tbilisians. Пичка ти грчина. Alex",1,0,1,0,1,0
43290,739011e2d552b77e,"Complaint 

This user rapes donkeys.",1,0,0,0,0,0
4671,0c5eb26205c4aa49,"Penis 

Did you sex with Grawp? H-A-6-6-E-P???

Penis.

Penis.

Vagina.

Vagina.",1,0,1,0,0,0
24616,41123edb3bc7bf76,dear omni looser stop editing my crap then die,1,0,1,1,1,0
89761,f01d866122380c4b,"But I LOVE pussy!  Just kidding.  I understand what you mean.  And it's okay, becuase I'm sure everyone else knows about Flewis.  He actually is bragging on his page about ge3tting someone blocked.  Man, he might have the right to do that, but bragging about it is like such a little kid I'm ebarassed for him",1,0,1,0,0,0
38393,6682e7043823f54b,"=Stop Editing My UserPage!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!

You complete idiotic, no good, piece-of-shit! You edited my userpage! That is MY page and I can say what I want on it!!!!!!!!!!!!!!! Now change it back this INSTANT before I come to your page and do some serious editing!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! You said it was inapropriote like a baby would, but it was okay!!!!!!!!! It's not like I was posting porn or something!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! So put it back NOW before your userpage, AND it's history, become PART OF THE GROUND LIKE YOU WILL SOON BE!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!",1,0,1,0,1,0
56663,9765588ea9bf6c5f,Irishguy delets other people shit. Cuz noone likes him,1,0,1,0,0,0
156543,cfdbe99fdb6e9381,"You are clueless 

I know Hdayejr and you have no business running your mouth when you only have knowledge of his war with Steve here last summer. You only know that much and nothing more. Makes you look just a bit ignorant. Get lost.",1,0,0,0,0,0
